,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
0,1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,23670000000000.0,21.18,21.96,2.0,4.72,4.62,10.98,34.4,0.88,17.4,3.53,27.3,11.18,32.6,10.6,4.8,-9.8,2.7,317000000.0,314850000.0,0.4,-6.19,89.4,0.66,1.24,1.55,12.8,23.2,13.6,3.4,2.8,0.35,0.0,54.8,18.7,22.3,1.81,11.63,-7.1,12.32,22.13,10.69,1.42,1.34,1.78,1.78,5.73,3.1,3.44,-6.15,13.08,-9.24,23.58,63.74,1.92,0.1,1.8,2530000.0,1.26,74.67,2.02,3159736.0,Aug 13/a,83.64,11/18/1999
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,4290000000000.0,,9.85,,0.33,0.84,4.22,25.7,,,-0.67,-6.0,200.89,15.7,-8.1,1.3,-203.7,-12.0,183310000.0,183310000.0,0.3,0.0,91.1,4.76,2.95,1.57,-0.8,-2.3,14.2,1.5,0.8,0.35,0.35,24.2,11.4,-0.9,3.58,8.28,-16.87,-13.81,-48.82,-11.93,,0.77,2.85,3.42,6.47,-2.51,-21.92,-19.05,12.44,-52.1,12.44,56.55,1.34,-0.13,2.1,3440000.0,0.85,23.41,1.21,2910116.0,Jul 17/a,34.75,1/2/1962
2,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,9.6,9.22,10.59,,9.98,,0.15,0.75,0.92,4.08,7.66,10.78,-1.65,11.4,-5.05,20.11,76.88,0.14,0.14,,38900.0,0.25,14.1,0.28,9733.0,-,,8/15/2018
3,4,AABA,Altaba Inc.,Financial,Asset Management,USA,65610000000000.0,,,,197.15,1.12,,,,,-15.9,,,-26.57,-0.83,,,122.6,945850000.0,532980000.0,5.22,0.0,73.03,,5.01,3.46,,,,,,,,,,,0.71,15.83,-6.41,19.67,-5.14,19.73,,1.42,1.25,1.81,5.54,0.68,3.8,-12.39,17.84,-12.39,26.7,55.79,-0.89,0.03,3.0,7710000.0,1.21,69.37,-0.86,9033122.0,-,76.0,4/12/1996
4,5,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,21000000.0,,13.23,,0.08,0.49,1.17,,,,-3.4,-512.4,110.2,-14.74,20.0,20.6,,-31.8,24420000.0,14480000.0,13.3,8.94,48.8,-2.73,33.41,11.89,-17.6,-100.3,-8.3,0.2,0.2,0.79,8.56,,-21.1,-30.6,23.63,-18.87,-53.26,-42.28,-90.7,-38.57,2.42,0.13,16.26,14.6,6.32,-31.69,-71.1,-64.9,38.53,-91.94,38.53,45.46,0.0,3.59,1.5,406880.0,4.48,0.86,3.59,1712915.0,Aug 08/b,4.5,10/2/2014
5,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,8.15,9.34,25.66,-6.7,24.16,,0.49,0.64,0.82,3.14,6.69,8.3,-0.48,12.53,-10.23,30.41,68.66,0.73,0.26,,10790.0,0.75,49.75,0.99,8171.0,-,,7/21/2010
6,7,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,14740000000000.0,10.68,5.67,0.74,0.33,,3.39,,1.23,13.1,3.05,-29.2,13.77,17.8,14.47,10.7,21.8,1.8,451950000.0,440360000.0,1.1,2.26,80.9,-2.69,5.08,3.63,2.5,-251.6,9.0,0.4,0.4,,,60.5,5.8,3.2,3.29,15.76,2.68,1.78,-14.77,1.56,1.67,0.96,2.42,3.15,4.84,2.12,-4.33,-6.56,20.69,-25.7,20.69,56.54,1.18,0.25,2.1,6150000.0,0.84,32.61,1.43,5238492.0,Jul 26/b,40.61,9/27/2005
7,8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,22310000.0,,,,1.41,,1.0,,,,-4.69,-50.5,,-25.0,,-26.1,79.5,-4.9,1940000.0,650000.0,9.6,63.35,30.7,-8.73,4.1,3.05,-14.7,3.7,3.4,,,,,,-45.1,-47.9,-17.5,-43.9,-68.36,-77.0,-80.31,-61.27,1.79,1.82,11.34,14.75,-23.1,-47.23,-70.67,-62.78,9.52,-84.35,9.52,27.81,-17.21,-0.86,,8660.0,2.75,11.5,-17.92,22994.0,Aug 07/b,,12/13/2012
8,9,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,50590000.0,6.5,,,0.25,0.44,5.88,12.34,0.82,5.0,0.38,-129.8,,-16.1,,2.3,175.2,35.8,20650000.0,3980000.0,2.5,0.0,5.3,-1.26,0.0,0.06,2.3,7.8,1.0,,,0.3,0.3,,6.4,4.0,-1.21,5.15,-14.23,-23.34,-24.62,1.71,0.52,0.1,2.27,4.04,0.47,-0.46,-7.39,-9.59,11.36,-35.53,11.36,50.95,0.0,-2.39,,3440.0,0.18,2.45,-2.39,605.0,Aug 12/a,,9/7/1984
9,10,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,4130000000000.0,21.46,13.8,1.79,1.06,2.28,33.23,17.73,0.23,4.4,2.86,28.5,16.34,11.9,12.0,11.4,12.0,6.0,67200000.0,66810000.0,1.2,-19.65,,-4.17,4.91,5.53,7.0,11.3,9.7,,,0.23,0.23,95.4,7.0,5.1,0.16,12.33,16.75,47.55,42.81,46.04,0.55,1.47,2.08,2.53,4.35,8.17,19.47,-2.01,18.55,-2.01,56.34,65.99,1.22,-0.51,1.6,592650.0,6.1,61.41,0.71,3341922.0,Jul 25/b,69.11,9/7/1984
10,11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,210640000.0,,,,0.83,0.63,,,,,-0.66,-100.5,75.2,33.2,13.0,27.8,-597.2,-19.2,20490000.0,18750000.0,7.6,0.0,64.8,5.42,42.92,12.58,-3.1,-4.4,-0.3,3.1,1.8,0.29,0.36,29.1,-9.7,-5.8,10.66,14.48,-15.74,-31.1,-75.08,-33.38,2.21,0.51,5.92,4.56,12.17,0.13,-37.74,-20.62,20.09,-79.56,20.09,58.81,-3.38,0.76,3.1,639500.0,2.35,10.28,-2.65,1464986.0,Aug 07/a,10.08,9/26/2013
11,12,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2580000000000.0,53.61,31.96,4.47,5.75,10.06,,197.0,0.64,33.9,0.94,-14.4,30.07,3.7,12.0,6.2,158.6,14.8,51430000.0,40680000.0,19.7,-0.09,75.1,0.86,11.05,32.0,15.6,19.8,17.1,3.3,1.6,0.0,0.0,25.4,14.5,11.0,4.3,8.12,8.66,48.33,52.06,43.13,0.98,1.29,2.74,2.49,4.29,4.64,22.79,-4.43,12.56,-4.43,59.05,59.01,1.31,0.02,3.3,140510.0,2.42,50.18,1.33,333954.0,Aug 01/a,36.0,12/16/1992
12,13,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,11070000000000.0,25.15,16.31,1.46,1.15,3.12,20.59,17.75,0.16,4.1,6.13,26.3,15.23,1.2,17.17,8.1,31.6,2.7,71790000.0,71500000.0,0.4,0.0,,0.3,4.46,2.87,4.5,11.9,10.2,1.3,0.3,0.21,0.0,44.1,6.4,4.4,0.59,-3.29,-9.61,-0.36,14.7,-2.11,0.9,3.83,2.41,2.03,0.69,-3.07,-6.0,-14.39,3.43,-17.2,15.62,48.53,1.42,0.18,2.1,1110000.0,0.86,154.14,1.6,950036.0,May 22/b,192.94,11/29/2001
13,14,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,919020000000000.0,16.96,15.69,1.41,3.56,8.74,11.47,20.14,1.56,24.4,11.67,32.6,10.36,16.5,12.0,9.2,-9.8,-5.1,4640000000000.0,4600000000000.0,0.07,-4.02,60.9,-2.89,1.02,1.69,16.0,51.3,26.6,1.3,1.3,0.85,1.06,38.1,25.3,22.1,-0.43,11.0,4.2,26.75,7.47,25.47,1.24,3.7,1.42,1.88,3.18,1.91,4.86,-8.08,16.24,-15.23,39.38,54.3,-0.38,-0.53,2.2,27880000.0,1.12,197.92,-0.91,31110642.0,Jul 30/a,212.03,12/12/1980
14,15,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,2700000000000.0,70.86,40.97,23.62,8.05,2.74,49.57,,2.38,165.4,0.67,-32.6,22.34,9.6,3.0,5.3,,5.7,57330000.0,57330000.0,0.3,7.0,81.6,0.26,0.98,1.13,1.4,3.9,3.8,,,1.6,1.6,63.5,28.4,9.3,-0.78,4.32,2.75,17.92,23.19,17.3,0.39,0.96,2.1,2.12,1.42,2.5,11.25,-2.06,9.25,-2.06,33.22,54.4,1.77,0.11,2.3,495950.0,9.13,47.12,1.88,3985341.0,Jul 30/a,50.33,1/13/2011
15,16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,64800000.0,,,,,1.23,24.92,,,,-0.03,40.2,,20.4,,,1.7,,109830000.0,92930000.0,7.2,0.0,5.9,53.19,1.62,9.96,-4.8,-5.0,,4.9,4.9,0.0,0.01,,,,-5.34,37.02,1.48,-4.05,-18.94,-11.94,-0.31,0.04,6.9,7.32,10.23,15.95,-0.99,-13.24,37.53,-34.39,37.53,59.37,0.0,-0.62,,151240.0,2.16,0.59,-0.62,320417.0,Aug 12/a,,12/20/2005
16,17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1150000000000.0,6.72,6.14,0.67,0.42,0.56,6.92,3.94,,0.0,6.65,162.3,-2.92,21.2,10.0,10.1,-411.2,15.2,25740000.0,25320000.0,1.8,-0.32,,-0.53,7.32,6.38,4.1,12.0,8.1,0.6,0.6,1.05,1.18,52.8,13.5,8.4,9.9,18.16,-11.71,5.11,-35.4,5.81,2.03,1.62,4.56,4.03,10.86,5.53,-10.01,-11.86,27.4,-38.97,27.4,60.22,1.5,0.87,2.1,290440.0,1.25,44.64,2.39,365259.0,Jul 31/b,68.0,11/9/2005
17,18,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,6.11,-1.27,10.24,-0.85,9.85,,0.72,0.47,0.72,3.17,1.65,3.12,-5.23,7.22,-5.29,15.39,58.57,-0.14,-0.1,,1450000.0,1.75,69.79,-0.24,2508897.0,-,,8/15/2008
